From,To,Type
mv_jafar,pr_jekm,8
mv_ironman,pr_jela,8
mv_bambi4,pr_jemo,8
mv_alad2,pr_jero,8
mv_stitch,pr_jewi,8
mv_bambi3,pr_jiba,8
mv_friendrat,pr_jica,8
mv_muppets,pr_jihe,8
mv_doug,pr_jiji,8
mv_poca,pr_jipe,8
mv_recess,pr_joan,8
mv_alad19,pr_joei,8
mv_ironman,pr_jofa,8
mv_blcaul,pr_joha,8
mv_101dal97,pr_johu,8
mv_flubber,pr_johu,8
mv_luxo,pr_jola,8
mv_paperman,pr_jola,8
mv_redsdr,pr_jola,8
mv_alad,pr_jomu,8
mv_hercules,pr_jomu,8
mv_tlmm,pr_jomu,8
mv_treasurepl,pr_jomu,8
mv_inout,pr_jori,8
mv_toyst4,pr_jori,8
mv_up,pr_jori,8
mv_inc,pr_jowa,8
mv_inc2,pr_jowa,8
mv_irongiant,pr_jowa,8
mv_redsdr,pr_kaduro,8
mv_olicomp,pr_kaga,8
mv_whofrrr,pr_kake,8
mv_lands2,pr_kalo,8
mv_jjatt,pr_kamc,8
mv_toyst2,pr_karj,8
mv_brave,pr_kasa,8
mv_avengers,pr_kefe,8
mv_guards,pr_kefe,8
mv_ironman,pr_kefe,8
mv_wild,pr_keli,8
mv_abuli,pr_kere,8
mv_cars3,pr_kere,8
mv_planes,pr_klha,8
mv_monstersuni,pr_kora,8
mv_chrrob,pr_krbu,8
mv_paperman,pr_krre,8
mv_muppets,pr_legr,8
mv_tlmm2,pr_leho,8
mv_dory,pr_lico,8
mv_turbo,pr_list,8
mv_ironman,pr_lodes,8
mv_musketeers,pr_male,8
mv_jafar,pr_mama,8
mv_cars2,pr_mani,8
mv_toyst4,pr_mani,8
mv_tuach,pr_maoca,8
mv_musketeers,pr_mapi,8
mv_muppets,pr_mast,8
mv_elhol,pr_mate,8
mv_jungle2,pr_math,8
mv_tinkerlnb,pr_mawi,8
mv_doug,pr_megr,8
mv_gigantic,pr_migp,8
mv_simpsons,pr_mime,8
mv_pigbm,pr_mipr,8
mv_rtneverl,pr_mipr,8
mv_inc2,pr_nipg,8
mv_moana,pr_ossh,8
mv_mulan,pr_paco,8
mv_recess,pr_page,8
mv_ironman,pr_pebi,8
mv_frozen,pr_pedv,8
mv_frozen2,pr_pedv,8
mv_tpatf,pr_pedv,8
mv_treasurepl,pr_pedv,8
mv_piratefair,pr_peho,8
mv_secotw,pr_peho,8
mv_irongiant,pr_peto,8
mv_emojii,pr_phba,8
mv_chlit,pr_rafu,8
mv_toyst,pr_ragu,8
mv_101dal98,pr_rime,8
mv_flubber,pr_rime,8
mv_alad,pr_rocl,8
mv_hercules,pr_rocl,8
mv_treasurepl,pr_rocl,8
mv_bh6,pr_roco,8
mv_tang,pr_roco,8
mv_treasurepl,pr_roco,8
mv_fant2,pr_roedi,8
mv_ironman,pr_rofa,8
mv_donlamp,pr_roga,8
mv_housemouse,pr_roga,8
mv_blcaul,pr_romi,8
mv_foxho,pr_romi,8
mv_resc,pr_romi,8
mv_whofrrr,pr_rowa,8
mv_emojii,pr_rybu,8
mv_ouach,pr_shst,8
mv_ironman,pr_stle,8
mv_whofrrr,pr_stsp,8
mv_whofrrr,pr_stst,8
mv_recess,pr_stsw,8
mv_alad2,pr_tast,8
mv_jafar,pr_tast,8
mv_gepetto,pr_teza,8
mv_toaster,pr_thlwi,8
mv_resc2,pr_thsch,8
mv_frween,pr_tibu,8
mv_jampch,pr_tibu,8
mv_nbchr,pr_tibu,8
mv_housemouse,pr_tocr,8
mv_stitch,pr_tocr,8
mv_recess,pr_tosu,8
mv_ironman,pr_vial,8
mv_101dal64,pr_wadi,8
mv_alice,pr_wadi,8
mv_bambi,pr_wadi,8
mv_cind,pr_wadi,8
mv_dumbo,pr_wadi,8
mv_fant,pr_wadi,8
mv_funff,pr_wadi,8
mv_ichtoad,pr_wadi,8
mv_jungle,pr_wadi,8
mv_lattr,pr_wadi,8
mv_merpop,pr_wadi,8
mv_mmmus,pr_wadi,8
mv_pinocchio,pr_wadi,8
mv_ppan,pr_wadi,8
mv_salam,pr_wadi,8
mv_snow,pr_wadi,8
mv_stbtwl,pr_wadi,8
mv_swits,pr_wadi,8
mv_thrcab,pr_wadi,8
mv_tsby,pr_wadi,8
mv_tugduck,pr_wadi,8
mv_wisehen,pr_wadi,8
mv_aristo,pr_wihi,8
mv_luxo,pr_wire,8
mv_wild,pr_wivi,8
mv_101dal61,pr_wore,6
mv_aristo,pr_wore,6
mv_aristo,pr_wore,8
mv_foxho,pr_wore,8
mv_jungle,pr_wore,6
mv_mapooh,pr_wore,6
mv_mapooh,pr_wore,8
mv_resc,pr_wore,6
mv_resc,pr_wore,8
mv_rhood,pr_wore,6
mv_rhood,pr_wore,8
mv_swits,pr_wore,6
mv_tsby,pr_wore,6
mv_monster,pr_zamo,8
